,user_id,timestamp,dataset,classifier_friendly_ppt_id,classifier_friendly_day_of_week,location_time_spent_on_campus,location_log_likelihood_of_day,weather_max_precip_intensity,call_0H-24H_total_num_missed,phys_3H-10H:percentHighPeakNoArtifact,phys_3H-10H:percentMedPeakNoArtifact,phys_3H-10H:sumTempWeightedAUC,screen_0H-3H_total_duration,sms_0H-3H_total_num_incoming,sms_17H-24H_unique_num_incoming,sms_17H-24H_unique_num_outgoing,sms_0H-24H_unique_num_outgoing,tomorrow_Happiness_Evening_Label,tomorrow_Health_Evening_Label,tomorrow_Calmness_Evening_Label
0,1,8/22/17 0:00,Val,0,4,0,1434.850264,0,1,0,0,-0.369250141,49,0,4,3,4,1,1,
1,1,8/23/17 0:00,Val,0,5,0,1384.511324,0,0,0,0,-47.11177225,21,0,2,1,1,1,1,0
2,1,8/24/17 0:00,Train,0,6,0,1432.698762,0,0,0,0,-8.383537082,10,1,3,3,5,1,0,1
3,1,8/25/17 0:00,Val,0,0,900,1282.323883,0,0,0,0,-32.14207652,0,0,4,4,6,0,0,0
4,1,8/26/17 0:00,Test,0,1,0,617.3508313,0,0,0,0,-123.1579134,66,0,3,3,3,1,1,0
5,2,8/22/17 0:00,Train,1,4,0,-24.69563937,0,0,0,0,-1.351502791,0,0,5,5,6,1,,0
6,2,8/23/17 0:00,Train,1,5,900,1433.587585,0,1,0.238095238,0.238095238,-65.58436476,0,0,4,3,3,1,,1
7,2,8/24/17 0:00,Train,1,6,0,662.5491124,0,0,0,0,-16.83429783,0,0,5,5,9,1,1,
8,2,8/25/17 0:00,Test,1,0,0,966.1353508,0,0,0,0,-135.3018584,0,0,4,4,9,1,1,1
9,2,8/26/17 0:00,Test,1,1,0,757.6295022,0.03,0,0.476190476,0.476190476,-217.5607483,20,0,1,1,6,1,1,
